SetNumber,ChordName,Notes
55,CM13,"B4 A4 E4 C4"
55,CM7#5,"B4 G#4 E4 C4"
55,Dm7b5,"C5 Ab4 F4 D4"
55,G7,"B4 G4 F4 D4"
55,Cadd9/E,"D5 C5 G4 E4"
55,Fadd9,"C5 A4 G4 F4"
55,FmAdd9,"C5 Ab4 G4 F4"
55,G9,"F5 B4 A4 G4"
55,E7/G#,"E5 D5 B4 G#4"
55,Am9/11,"B5 D5 C5 A4"
55,Gm11/Bb,"G5 D5 C5 Bb4"
55,CM7#5/G#,"E5 C5 B4 G#4"
56,Cm7,"Eb5 Bb4 C4 G3"
56,Db6,"F5 Bb4 Db4 Ab3"
56,Dm7,"F5 C5 D4 A3"
56,Dm7b5,"F5 C5 D4 Ab3"
56,EbM7,"G5 D5 Eb4 Bb3"
56,Fm7,"Ab5 Eb5 F4 C4"
56,Gb6,"Bb5 Eb5 Gb4 Db4"
56,Gm7,"Bb5 F5 G4 D4"
56,Ab6,"C6 F5 Ab4 Eb4"
56,AbM7,"C6 G5 Ab4 Eb4"
56,Am7,"C6 G5 A4 E4"
56,BbM7,"D6 A5 Bb4 F4"
57,C5b9,"C4 G3 C#3 C3"
57,DbM7,"C4 G#3 F3 C#3"
57,Dm7,"C4 A3 F3 D3"
57,Ebsus11,"C#4 A#3 G#3 D#3"
57,EM7#11,"D#4 A#3 G#3 E3"
57,Fm9,"C4 G#3 G3 F3"
57,GbM7#11,"F4 C3 A#3 F#3"
57,Gm7,"F4 D3 A#3 G3"
57,AbM7#11,"G4 D4 C4 G#3"
57,A7alt,"G4 C#4 C4 A3"
57,Bb5add9/b13,"F4 C4 F#3 A#2"
57,C7sus4,"A#3 G3 F3 C3"
58,Cm7,"G4 D#4 A#3 C3"
58,A#m/C#,"F4 C#4 A#3 C#3"
58,A#/D,"F4 D4 A#3 D3"
58,D#,"G4 D#4 A#3 D#3"
58,C/E,"G4 E4 C4 E2"
58,Cm/F,"G4 D#4 C4 F2"
58,D/F#,"A4 F#4 D4 F#2"
58,G,"G4 D4 B3 G2"
58,G#M7,"G4 D#4 C4 G#2"
58,Csus4/A,"G4 F4 C4 A2"
58,D#/A#,"G4 D#4 A#3 A#2"
58,G/B,"G4 D4 B3 B2"
59,CM9,"B3 A3 D3 C3"
59,C6,"F#3 B3 E3 D#3"
59,Dm9,"C#4 B3 E3 D3"
59,Dm6,"G#4 C#4 F#3 F3"
59,EM9,"D#4 C#4 F#3 E3"
59,FM9,"E4 D4 G3 F3"
59,F6,"B4 E4 A3 G#3"
59,GM9,"F#4 E4 A3 G3"
59,G6,"C#4 F#4 B3 A#3"
59,Am9,"G#5 F#4 B3 A3"
59,Am6,"D#5 G#4 C#4 C4"
59,Bm9,"A#5 G#4 C#4 B3"
60,CM13(no 3),"B3 A3 D3 C3"
60,EM9(no 3),"F#4 B3 E3 D#3"
60,DM13(no 3),"C#4 B3 E3 D3"
60,F#M9(no 3),"G#4 C#4 F#3 F3"
60,EM13(no 3),"D#4 C#4 F#3 E3"
60,FM13(no3),"E4 D4 G3 F3"
60,AM9(no3),"B4 E4 A3 G#3"
60,GM13(no3),"F#4 E4 A3 G3"
60,BM9(no3),"C#5 F#4 B3 A#3"
60,AM13(no3),"G#4 F#4 B3 A3"
60,C#M9(no 3),"D#5 G#4 C#4 C4"
60,BM13(no3),"A#4 G#4 C#4 B3"
61,Csus9/13,"A4 D4 G3 C3"
61,C6,"E5 A4 G3 C3"
61,Dsus9/13,"B4 E4 A3 D3"
61,D6,"F#5 B4 A3 D3"
61,Esus9/13,"C#5 F#4 B3 E3"
61,Fsus9/13,"D5 G4 C4 F3"
61,F6,"A4 D5 C4 F3"
61,Gsus9/13,"E5 A4 D4 G3"
61,G6,"B4 E4 D4 G3"
61,Asus9/13,"F#5 B4 E4 A3"
61,A6,"C#5 F#4 E4 A3"
61,Bsus9/13,"G#5 C#5 F#4 B3"
62,CM13,"E4 B3 A3 C3"
62,C#sus9,"D#4 A#3 F#3 C#3"
62,DM13,"F#4 C#4 B3 D3"
62,D#sus9,"F4 A#3 G#3 D#3"
62,EM13,"G#4 D#4 C#4 E3"
62,FM13,"A4 E4 D4 F3"
62,F#sus9&nbsp;,"G#4 C#4 B3 F#3"
62,GMaj13,"B4 F#4 E4 G3"
62,Absus9,"A#4 D#4 C#4 G#3"
62,AM13,"C#5 G#4 F#4 A3"
62,Bbsus9,"C5 F4 D#4 A#3"
62,BM13,"D#5 A#4 G#4 B3"
63,CM7,"E4 B3 C3 G2"
63,Dbm7,"E4 B3 C#3 G#2"
63,Dm7,"F4 C4 D3 A2"
63,Eb6,"G4 C4 D#3 A#2"
63,Em7,"G4 D4 E3 B2"
63,FM7,"A4 E4 F3 C3"
63,Gbm7,"A4 E4 F#3 C#3"
63,GM7,"B4 F#4 G3 D3"
63,Abm7,"B4 F#4 G#3 D#3"
63,Am7,"C5 G4 A3 E3"
63,Bb6,"D5 G4 B3 F3"
63,Bm7,"D5 A4 B3 F#3"
64,C6,"E4 A3 G3 C3"
64,AM7,"E4 A3 G#3 C#3"
64,D6,"F#4 B3 A3 D3"
64,BM7,"F#4 B3 A#3 D#3"
64,E6,"G#4 C#4 B3 E3"
64,F6,"A4 D4 C4 F3"
64,DM7,"A4 D4 C#4 F#3"
64,G6,"B4 E4 D4 G3"
64,EM7,"B4 E4 D#4 G#3"
64,A6,"C#5 F#4 E4 A3"
64,GbM7,"C#5 F#4 F4 A#3"
64,B6,"D#5 G#4 F#4 B3"
65,G/C,"G4 D4 B3 C3"
65,C#dim7,"G4 E4 A#3 C#3"
65,Dm7b5,"F4 C4 Ab3 D3"
65,D#dim7,"F#4 C4 A3 D#3"
65,Em7,"G4 D4 B3 E3"
65,Fm11,"Eb4 Bb3 Ab3 F2"
65,F#dim7,"D#4 A3 C3 F#2"
65,Gm7b13,"Eb4 Bb3 F3 G2"
65,G#M9,"G4 C4 A#3 G#2"
65,Am7/b13,"F4 C3 G3 A2"
65,A#m7 add 13,"G4 C#4 G#3 A#2"
65,Bm7/b13,"G4 D3 A3 B2"
66,Cm7/b13,"F4 Bb3 Ab3 C3"
66,C#M13,"F4 C4 A#3 C#3"
66,Dm7/b13,"F4 C4 Bb3 D3"
66,D#m11,"F#4 C#4 G#3 D#3"
66,D/E,"F#4 D4 A3 E3"
66,G#m/F,"G#4 D#4 B3 F3"
66,F#6,"A#4 D#4 C#4 F#3"
66,A#m/G,"A#4 F4 C#4 G3"
66,G#m11,"B4 F#4 C#4 G#3"
66,AM9,"B4 E4 C#4 A3"
66,A#7/b13,"G#4 F#4 D4 A#3"
66,F#/B,"A#4 F#4 C#4 B3"
67,D,"D4 A3 F#3 D2"
67,C/D,"C4 G3 E3 D2"
67,D/E,"D4 A3 F#3 E2"
67,Dm/F,"D4 A3 F3 F2"
67,Dsus2/F#,"D4 A3 E3 F#2"
67,Gadd9,"D4 B3 A3 G2"
67,E/G#,"E4 B3 G#3 G#2"
67,A,"E4 C#4 A3 A1"
67,A#dim7,"C#4 G3 E3 A#1"
67,Bm7,"D4 A3 F#3 B1"
67,D/C,"D4 A3 F#3 C2"
67,C#dim,"C#4 G3 E3 C#2"
68,Cmadd9,"D#4 D4 G3 C3"
68,Abadd9/C,"D#4 A#3 G#3 C3"
68,Bb7/D,"F4 A#3 G#3 D3"
68,EbM9,"D4 G3 F3 D#3"
68,Eb7/b9,"C#4 G3 E3 D#3"
68,Fm9,"D#4 G#3 G3 F3"
68,GbM6/9,"D#4 A#3 G#3 F#3"
68,Gm7,"F4 D4 A#3 G3"
68,Eb/Ab,"G4 D#4 A#3 G#3"
68,Fsus4/A,"F4 C4 A#3 A3"
68,Bbsus,"F4 D#4 D4 A#3"
68,Bbsus4/b9,"A#4 D#4 B3 A#3"
69,Ab7/C,"G#3 F#3 D#3 C3"
69,C#m11,"B3 F#3 E3 C#3"
69,DM9,"C#4 F#3 E3 D3"
69,Bsus4/Eb,"B3 F#3 E3 D#3"
69,EM add2,"B3 G#3 F#3 E3"
69,DM7#11,"C#4 G#3 F#3 D3"
69,F#m11,"E3 B2 A2 F#2"
69,G6,"E3 B2 A2 G2"
69,Abm7,"F#3 D#3 B2 G#2"
69,AM7add6,"G#3 F#3 C#3 A2"
69,F#add9/A#,"G#3 F#3 C#3 A#2"
69,BM add4,"F#3 E3 D#3 B2"
70,C9,"D4 Bb3 E3 C2"
70,C/D,"E4 C4 G3 D2"
70,D7b9,"Eb4 C4 F#3 D2"
70,EbM7,"D4 Bb3 G3 Eb2"
70,Em7b13,"D4 C4 G3 E2"
70,Eb/F,"Eb4 Bb3 G3 F2"
70,F#13,"Eb4 Bb3 E3 F#2"
70,G7,"D4 B3 F3 G2"
70,Abm6 add b13,"E4 B3 F3 Ab2"
70,Am7,"E4 C4 G3 A2"
70,Bm7,"F#4 D4 A3 B2"
70,B7,"F#4 D#4 A3 B2"
71,C7alt,"Eb4 Ab3 E3 C3"
71,DbM7,"F4 C4 Ab3 Db3"
71,D7alt,"F4 C4 F#3 D3"
71,Eb7,"G4 Db4 Bb3 Eb3"
71,C7/E,"G4 C4 Bb3 E3"
71,F7alt,"Ab4 Eb4 A3 F3"
71,F11sus2,"G4 Eb4 Bb3 F3"
71,Gm7b5,"F4 Db4 Bb3 G3"
71,Ab9,"Bb4 Gb4 C4 Ab3"
71,Bb9sus,"Ab4 Eb4 C4 Bb3"
71,Bb7add9,"Ab4 D4 C4 Bb3"
71,C11sus2,"D4 Bb3 F3 C3"
72,Cm9,"D4 A#3 D#3 C3"
72,AbM7,"C4 G#3 G3 D#3"
72,Dm7,"C4 A3 F3 D3"
72,EbDimM7,"D4 A3 F#3 D#3"
72,EbM7,"D4 A#3 G3 D#3"
72,Fm7,"D#4 C4 G#3 F3"
72,CM7#5,"E4 C4 G#3 G3"
72,Gm7,"F4 D4 A#3 G3"
72,G7#5,"F4 D#4 B3 G3"
72,AbM7,"G4 D#4 C4 G#3"
72,Fm7b5/B,"G#4 F4 D#4 B3"
72,Bb13/D,"G4 A#3 G#3 D3"
73,Cm7,"Bb4 G4 Eb4 C4"
73,C#dim7,"A#4 G4 E4 C#4"
73,Fm7,"Ab4 F4 Eb4 C4"
73,Fm7/b5,"Ab4 F4 Eb4 B3"
73,EbM7,"Bb4 G4 Eb4 D4"
73,Cm7/Eb,"C5 Bb4 G4 Eb4"
73,Edim,"Db5 Bb4 G4 E4"
73,AbM7,"C5 Ab4 G4 Eb4"
73,Fm7,"Eb5 C5 Ab4 F4"
73,AbM13,"F5 C5 Ab4 G4"
73,Bb13,"G5 D5 Bb4 Ab4"
73,Bb6,"G5 F5 D5 Bb4"
74,Em7/D,"B3 G3 E3 D3"
74,Gm7b5/C#,"A#3 G3 F3 C#3"
74,FM7/E,"C4 A3 F3 E3"
74,DMb7/D#,"D4 A3 F#3 D#3"
74,GM7/F#,"D4 B3 G3 F#3"
74,Edim7,"C#4 A#3 G3 E3"
74,Cadd13/E,"C4 A3 G3 E3"
74,E,"E4 B3 G#3 E3"
74,Gaddb9/G#,"G4 D4 B3 G#3"
74,Am9,"G4 C4 B3 A3"
74,Dm7,"F4 C4 F3 D3"
74,Emb9/F,"E4 B3 G3 F3"
75,CM7,"B4 E4 C4 G3"
75,C#m7,"B4 E4 C#4 G#3"
75,Dm7,"C5 F4 D4 A3"
75,EbM7,"D5 G4 Eb4 Bb3"
75,Em7,"D5 G4 E4 B3"
75,FM7,"E5 A4 F4 C4"
75,Gb7,"E5 Bb4 Gb4 Db4"
75,GM7,"F#5 B4 G4 D4"
75,AbM7,"G5 C5 Ab4 Eb4"
75,Am7,"G5 C5 A4 E4"
75,BbM7,"A5 D5 Bb4 F4"
75,Bm7,"A5 D5 B4 F#4"
76,CM7sus2,"B3 G3 D3 C3"
76,Gadd9/B,"D4 A3 G3 B2"
76,DM7sus2,"C#4 A3 E3 D3"
76,E6sus4/C#,"E4 B3 A3 C#3"
76,EM7sus2,"D#4 B3 F#3 E3"
76,F#6sus4/D#,"F#4 C#4 B3 D#3"
76,F#M7sus2,"F4 C#4 G#3 F#3"
76,G#6sus4/F,"G#4 D#4 C#4 F3"
76,G#M7sus2,"G4 D#4 A#3 G#3"
76,A#6sus4/G,"A#4 F4 D#4 G3"
76,A#M7sus2,"A4 F4 C4 A#3"
76,Fadd9/A,"C5 G4 F4 A3"
77,CM7,"E4 B3 G3 C3"
77,C#m7,"E4 B3 G#3 C#3"
77,DM7,"F#4 C#4 A3 D3"
77,D#m7,"F#4 C#4 A#3 D#3"
77,EM7,"G#4 D#4 B3 E3"
77,Fm7,"G#4 D#4 C4 F3"
77,F#M7,"A#4 F4 C#4 F#3"
77,Gm7,"A#4 F4 D4 G3"
77,AbM7,"C5 G4 D#4 G#3"
77,Am7,"C5 G4 E4 A3"
77,BbM7,"D5 A4 F4 A#3"
77,Bm7,"D5 A4 F#4 B3"
78,C11sus,"Bb4 F4 D4 C4"
78,A7/C#,"A4 E4 G3 C#3"
78,Dm7,"F4 C4 A3 D3"
78,EbM7,"D4 Bb3 G3 Eb3"
78,C7/E,"C4 Bb3 G3 E3"
78,F6,"D4 C4 A3 F3"
78,D7/F#,"D4 C4 A3 F#3"
78,Gdim7,"E4 Db4 Bb3 G3"
78,E7/G#,"E4 D4 B3 G#3"
78,F6/A,"F4 D4 C4 A3"
78,Bb6,"G4 F4 D4 Bb3"
78,Bm7b5,"A4 F4 D4 B3"
79,Ab/C,"Ab3 Eb3 C3"
79,Db,"Ab3 F3 Db3"
79,Bb/D,"Bb3 F3 D3"
79,Ebm,"Bb3 Gb3 Eb3"
79,C/E,"C4 G3 E3"
79,Db/F,"Db4 Ab3 F3"
79,Gb,"Db4 Bb3 Gb3"
79,Eb/G,"Eb4 Bb3 G3"
79,Db/Ab,"F4 Db4 Ab3"
79,F7/A,"F4 Eb4 A3"
79,Ebm/Bb,"Gb4 Eb4 Bb3"
79,B,"F#4 D#4 B3"
80,Cm7b5,"D#4 A#3 F#3 C3"
80,Db7sus,"F#4 D#4 B3 C#3"
80,Bbadd2/D,"F4 C4 A#3 D3"
80,Ebm7,"F#4 C#4 A#3 D#3"
80,EM7,"G#4 D#4 B3 E3"
80,Fmb6,"G#4 C#4 C4 F3"
80,GbM9,"F4 C#4 G#3 F#3"
80,Ebadd9/G,"F4 D#4 A#3 G3"
80,Ab7sus,"F#4 C#4 A#3 G#3"
80,AdimM7,"G#4 D#4 C4 A3"
80,Bbm9,"G#4 C#4 C4 A#3"
80,Gb/B,"A#4 F#4 C#4 B3"
81,C7alt,"Eb3 Ab3 E3 C3"
81,DbM7add6,"C4 Bb3 F3 Db3"
81,Bb7/D,"Bb3 Ab3 F3 D3"
81,Db/Eb,"Ab3 F3 Db3 Eb2"
81,Edim7,"G3 Db3 Bb2 E2"
81,Fm9,"G3 Eb3 Ab2 F2"
81,Gb6/9,"Ab3 Eb3 Bb2 Gb2"
81,Gm7b5,"C4 F3 Db3 G2"
81,Eb/Ab,"Bb3 G3 Eb3 Ab2"
81,F7/A,"C4 F3 Eb3 A2"
81,Bbm9,"C4 F3 Db3 Bb2"
81,BM7#11,"Bb3 F3 Eb3 B2"
82,Gm7,"D4 Bb3 F3 G2"
82,Bb/Ab,"D4 Bb3 F3 Ab2"
82,Am7,"E4 C4 G3 A2"
82,C/Bb,"E4 C4 G3 Bb2"
82,Bm7,"F#4 D4 A3 B2"
82,D/C,"F#4 D4 A3 C3"
82,C#m7,"G#4 E4 B3 C#3"
82,E/D,"G#4 E4 B3 D3"
82,D#m7,"A#4 F#4 C#4 D#3"
82,F#/E,"A#4 F#4 C#4 E3"
82,Fm7,"C5 Ab4 Eb4 F3"
82,Ab/Gb,"C5 Ab4 Eb4 Gb3"
83,CM9,"D5 B4 E4 C4"
83,C#dim,"E5 A#4 G4 C#4"
83,Dm7,"F5 C5 A4 D4"
83,D#dim,"B5 F#5 C5 D#4"
83,CM9/E,"G5 D5 C5 E4"
83,FM9,"G5 E5 A4 F4"
83,F#dim,"A5 D#5 C5 F#4"
83,Gm9,"A5 F5 Bb4 G4"
83,C13b9,"A5 E5 Db5 C4"
83,F6,"A5 D5 C5 F4"
83,BbM9,"C6 A5 D5 Bb4"
83,G13b9,"E5 B4 Ab4 G3"
84,CM7,"E5 B4 G4 C4"
84,C#Dim,"G5 E5 A#4 C#4"
84,Dm11,"G5 F5 C5 D4"
84,D#Dim,"A5 F#5 C5 D#4"
84,Em11,"A5 G5 D5 E4"
84,G/F,"B5 G5 D5 F4"
84,F9#11,"B5 G5 Eb5 F4"
84,Gsus13,"E5 C5 F4 G3"
84,Abdim7,"E5 B4 F4 Ab3"
84,FM7/A,"E5 C5 F4 A3"
84,Bb13,"G5 D5 Ab4 Bb3"
84,Eb/B,"G5 Eb5 Bb4 B3"
85,CM7#11,"B4 F#4 E4 C3"
85,DbM7#11,"C5 G4 F4 Db3"
85,Dm9,"E5 G4 F4 D3"
85,EbM7#11,"D5 A4 G4 Eb3"
85,Em9,"F#5 A4 G4 E3"
85,FM7#11,"E5 B4 A4 F3"
85,F#m11,"E5 B4 A4 F#3"
85,G6/9,"A5 E5 B4 G3"
85,AbM7#11,"G5 D5 C5 Ab3"
85,Am9,"B5 D5 C5 A3"
85,BbM13,"G5 D5 A4 Bb3"
85,Bm11b5,"E5 A4 F4 B3"
86,CM9,"B4 E4 D4 C3"
86,Db9#11,"Bb4 F4 B3 Db3"
86,Dm9,"C5 F4 E4 D3"
86,D13b9/Eb,"B4 Gb4 C4 Eb3"
86,Em11,"A4 G4 D4 E3"
86,FM13,"A4 E4 D4 F3"
86,E/F,"B4 G#4 E4 F3"
86,FM7/G,"E5 A4 F4 G3"
86,Ab7#9#5,"B5 E5 C5 Ab3"
86,Am9/11,"B5 D5 C5 A3"
86,BbM9,"A5 D5 C5 Bb3"
86,Bdim7,"G5 D5 Ab4 B3"
87,Cmaj7,"E4 B3 G3 C3"
87,Aadd9/C#,"E4 B3 A3 C#3"
87,Dm6,"F4 B3 A3 D3"
87,B7/D#,"F#4 B3 A3 D#3"
87,Em7,"G4 D4 B3 E3"
87,Fmaj9,"G4 E4 A3 F3"
87,Dadd9/F#,"A4 E4 D4 F#3"
87,Gm7/9,"A4 F4 Bb3 G3"
87,Abmaj9,"Bb4 G4 C4 Ab3"
87,Cadd9/G,"B4 E4 C4 G3"
87,Eadd9/G#,"B4 F#4 E4 G#3"
87,Asus7,"D5 B4 G4 A3"
88,Fmaj7/9,"C4 A3 G3 E3"
88,Gm7/b5,"Db4 Bb3 G3 F3"
88,Abmaj7/9,"Eb4 C4 Bb3 G3"
88,Bbm7/b5,"E4 Db4 Bb3 Ab3"
88,Bmaj7/9,"F#4 D#4 C#4 A#3"
88,C#m7/b5,"G4 E4 C#4 B3"
88,DM7/9,"A4 F#4 E4 C#4"
88,Em7/b5,"A#4 G4 E4 D4"
88,CM7/9,"B4 G4 E4 D4"
88,Dm7b5/9,"C5 Ab4 F4 E4"
88,GbM7/9,"Db5 Bb4 Ab4 F4"
88,Abm7/b5,"D5 B4 Ab4 Gb4"
89,Cadd9,"G4 E4 D4 C4"
89,C#dim7,"A#4 G4 E4 C#4"
89,Gadd13/B,"G4 E4 D4 B3"
89,D#dim#5,"B4 A4 F#4 D#4"
89,FM7/E,"C5 A4 F4 E4"
89,G7sus2/F,"D5 A4 G4 F4"
89,D#dim7,"C5 A4 F#4 D#4"
89,C6,"A4 G4 E4 C4"
89,Ddim7,"B4 G#4 F4 D4"
89,Am/C,"C5 A4 E4 C4"
89,Dm7b5,"C5 G#4 F4 D4"
89,G7/D,"B4 G4 F4 D4"
90,Em7,"D4 B3 G3 E3"
90,Edim7,"C#4 A#3 G3 E3"
90,FM7,"E4 C4 A3 F3"
90,F#dim7,"D#4 C4 A3 F#3"
90,Em7,"D4 B3 G3 E3"
90,C6/E,"C4 A3 G3 E3"
90,F#dim7,"D#4 C4 A3 F#3"
90,FM7b5,"E4 B3 A3 F3"
90,Eb7/F,"E4 B3 G#3 F3"
90,Gadd9,"D4 B3 A3 G3"
90,A#11/F,"E4 D4 A#3 F3"
90,F#dim7,"D#4 C4 A3 F#3"
91,Gm7,"D4 A#3 F3 G2"
91,G#M7,"D#4 C4 G3 G#2"
91,Am7,"E4 C4 G3 A2"
91,A#M7,"F4 D4 A3 A#2"
91,G/B,"D4 G3 B2"
91,D#M7,"D4 A#3 G3 D#3"
91,A#/D,"D4 A#3 G3 D#3"
91,D,"D4 A3 F#3 D3"
91,CM7sus2,"D4 B3 G3 C3"
91,Em7,"D4 B3 G3 E3"
91,F6,"D4 C4 A3 F3"
91,C6sus2b5,"D4 A3 F#3 C3"
92,A#M7,"A3 F3 D3 A#2"
92,BM7,"A#3 F#3 D#3 B2"
92,Cm7b5,"A#3 F#3 D#3 C3"
92,C#dim7,"A#3 G3 E3 C#3"
92,Em7b5/D,"A#3 G3 E3 D3"
92,Fm7/D#,"C4 G#3 F3 D#3"
92,Edim7,"C#4 A#3 G3 E3"
92,F7/D#,"C4 A3 F3 D#3"
92,F#dim7,"D#4 C4 A3 F#3"
92,Gm7/F,"D4 A#3 G3 F3"
92,G#M7/D#,"C4 G#3 G3 D#3"
92,F7/D#,"C4 A3 F3 D#3"
93,A#M7/A,"F3 D3 A#2 A2"
93,G#6,"F3 D#3 C3 G#2"
93,Am7,"G3 E3 C3 A2"
93,A#M7,"A3 F3 D3 A#2"
93,Gadd11/B,"G3 D3 C3 B2"
93,FM7/C,"A3 F3 E3 C3"
93,A7/C,"A3 G3 E3 C#3"
93,D7/C,"A3 F#3 D3 C3"
93,D#M7b5/D,"A3 G3 D#3 D3"
93,Cadd9/D,"C4 G3 E3 D3"
93,Fadd9,"C4 A3 G3 F3"
93,Cdim7,"A3 F#3 D#3 C3"
94,CM7,"B4 E4 G3 C3"
94,DbM7,"C5 F4 G#3 C#3"
94,Dm7,"C5 F4 A3 D3"
94,Ebm7add13,"C5 F#4 C#4 D#3"
94,Em7/b13,"C5 G4 D4 E3"
94,Fm7,"C5 G#4 D#4 F3"
94,F#m7/b5,"C5 A4 E4 F#3"
94,G9sus,"A4 F4 C4 G3"
94,G#dim7,"B4 F4 D4 G#3"
94,Am6,"C5 F#4 E4 A3"
94,F/Bb,"A4 F4 C4 A#2"
94,Bdim7,"G#4 D4 F3 B2"
95,FM7/E,"A4 F4 E4"
95,Bdim/D,"B4 F4 D4"
95,Am,"C5 E4 A3"
95,G#dim7,"D5 F4 B3 G#3"
95,C/G,"E5 E4 C4 G4"
95,Amb9/C,"A5 A#4 E4 C4"
95,Fadd9/C,"G5 A4 F4 C4"
95,Dm,"F5 A4 F4 D3"
95,C/G,"E5 G4 C4 G2"
95,C/G,"C5 E4 G3 G2"
95,Fadd9/G,"A4 F4 C4 G2"
95,Ddim/G,"G#4 F4 D4 G2"
96,Am,"E4 C4 A3 A2"
96,Bm7/A,"D4 B3 A3 A2"
96,Fdim/B,"F4 B3 G#3 B2"
96,C/E,"E4 C4 G3 E3"
96,A7/G,"E4 C#4 A3 G3"
96,Dm7,"F4 C4 A3 D3"
96,D#aug,"D#4 B3 G3 D#3"
96,E,"E4 B3 G#3 E3"
96,F,"F4 C4 A3 F3"
96,D/F#,"D4 A3 F#3 F#2"
96,C/G,"E4 C4 G3 G2"
96,E/G#,"E4 B3 G#3 G#2"
97,F#/C#,"F#4 A#3 F#3 C#3"
97,F#/A#,"F#4 C#4 F#3 A#2"
97,G#m7,"F#4 B3 F#3 G#2"
97,A6,"F#4 C#4 E3 A2"
97,F#/C#,"F#4 C#4 F#3 A#2"
97,Bsus2,"F#4 C#4 F#3 B2"
97,G#/C,"G#4 D#4 G#3 C3"
97,C#7,"F4 B3 G#3 C#3"
97,A#7/D,"F4 A#3 G#3 D3"
97,F#6sus4/C#,"D#4 B3 F#3 C#3"
97,C#m7,"E4 B3 G#3 C#3"
97,C#7,"F4 B3 F3 C#3"
98,Dm,"D4 A3 F3 D2"
98,D#M7/D,"D#4 A#3 G3 D2"
98,E7/D,"B3 G#3 E3 D2"
98,Dm7,"C4 A3 F3 D2"
98,D7,"C4 A3 F#3 D2"
98,Gm/D,"D4 A#3 G3 D2"
98,G#/D,"D#4 C4 G#3 D2"
98,A/D,"E4 C#4 A3 D2"
98,A#add9/D,"F4 C4 A#3 D2"
98,DM7(13),"F#4 C#4 B3 D2"
98,Csus2/D,"G4 D4 C4 D2"
98,G#dim/D,"G#4 D4 B3 D2"
99,CM13,"B3 A3 E3 C3"
99,AM9/C#,"B3 A3 E3 C#3"
99,Dm13,"C4 B3 F3 D3"
99,EbM13,"D4 C4 G3 D#3"
99,CM9/E,"D4 C4 G3 E3"
99,FM13,"E4 D4 A3 F3"
99,FmM13,"E4 D4 G#3 F3"
99,CM9 (no3)/G,"B4 D4 C4 G3"
99,AbMb5/#9,"B4 D4 C4 G#3"
99,Am11,"D4 G3 C3 A2"
99,BbM9,"D4 A3 C3 A#2"
99,G6/9,"E4 A3 G3 B2"
100,CM9,"B4 E4 D4 C3"
100,Cm9,"Bb4 Eb4 D4 C3"
100,Dm9,"C5 F4 E4 D3"
100,Dm6/9,"B4 F4 E4 D3"
100,CM9/E,"B4 D4 C4 E3"
100,Dm9/F,"C5 E4 D4 F3"
100,D9/F#,"C5 E4 D4 F#3"
100,Gsus13,"E5 A4 F4 G3"
100,G13b9,"E5 Ab4 F4 G3"
100,AbMaj13,"E5 Bb4 G4 Ab3"
100,AbDimM7,"G5 B4 F4 Ab3"
100,BbM13,"A5 D5 G4 Bb3"
